cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
-0.789,-0.817,-0.518,-0.561,-0.808,-0.749
-0.825,-0.832,-0.548,-0.577,-0.837,-0.757
-0.842,-0.825,-0.573,-0.592,-0.858,-0.759
-0.853,-0.831,-0.603,-0.604,-0.867,-0.759
-0.878,-0.836,-0.617,-0.607,-0.867,-0.757
-0.894,-0.825,-0.644,-0.615,-0.858,-0.741
-0.878,-0.817,-0.652,-0.613,-0.855,-0.729
-0.881,-0.8,-0.668,-0.609,-0.85,-0.709
-0.892,-0.786,-0.673,-0.602,-0.839,-0.688
-0.862,-0.761,-0.675,-0.595,-0.83,-0.668
-0.86,-0.731,-0.681,-0.583,-0.798,-0.632
-0.822,-0.694,-0.671,-0.566,-0.769,-0.607
-0.811,-0.663,-0.666,-0.549,-0.739,-0.566
-0.772,-0.627,-0.655,-0.527,-0.69,-0.524
-0.742,-0.577,-0.643,-0.503,-0.66,-0.484
-0.7,-0.533,-0.621,-0.477,-0.6,-0.436
-0.665,-0.484,-0.6,-0.44,-0.563,-0.388
-0.614,-0.426,-0.577,-0.411,-0.513,-0.341
-0.573,-0.379,-0.548,-0.378,-0.447,-0.291
-0.514,-0.325,-0.517,-0.341,-0.394,-0.231
-0.448,-0.265,-0.488,-0.304,-0.341,-0.173
-0.405,-0.208,-0.451,-0.261,-0.274,-0.126
-0.337,-0.137,-0.408,-0.218,-0.214,-0.057
-0.268,-0.076,-0.365,-0.183,-0.137,-0.005
-0.203,-0.008,-0.324,-0.143,-0.081,0.051
-0.146,0.047,-0.281,-0.097,-0.015,0.108
-0.075,0.108,-0.24,-0.051,0.054,0.169
-0.01,0.177,-0.203,-0.015,0.116,0.223
0.052,0.244,-0.155,0.029,0.175,0.275
0.121,0.292,-0.11,0.064,0.237,0.326
0.171,0.348,-0.061,0.108,0.298,0.383
0.238,0.406,-0.018,0.142,0.355,0.431
0.318,0.461,0.031,0.186,0.407,0.473
0.35,0.51,0.069,0.226,0.469,0.51
0.403,0.534,0.116,0.251,0.517,0.55
0.444,0.583,0.159,0.288,0.557,0.586
0.507,0.614,0.193,0.312,0.604,0.617
0.551,0.662,0.227,0.342,0.647,0.639
0.567,0.671,0.266,0.363,0.69,0.672
0.612,0.683,0.29,0.39,0.711,0.68
0.667,0.72,0.326,0.402,0.731,0.701
0.662,0.723,0.349,0.422,0.75,0.707
0.693,0.745,0.385,0.432,0.775,0.718
0.718,0.748,0.405,0.446,0.785,0.721
0.73,0.744,0.429,0.446,0.782,0.72
0.734,0.756,0.439,0.454,0.783,0.717
0.737,0.737,0.474,0.457,0.795,0.703
0.752,0.708,0.468,0.462,0.781,0.687
0.745,0.696,0.488,0.456,0.765,0.674
0.72,0.663,0.469,0.444,0.753,0.659
0.712,0.641,0.496,0.446,0.745,0.625
0.702,0.622,0.486,0.435,0.711,0.59
0.684,0.596,0.492,0.425,0.678,0.559
0.683,0.565,0.499,0.395,0.642,0.526
0.623,0.517,0.485,0.387,0.621,0.489
0.633,0.494,0.479,0.374,0.57,0.443
0.587,0.453,0.481,0.35,0.543,0.397
0.549,0.388,0.457,0.33,0.478,0.347
0.517,0.354,0.443,0.305,0.441,0.301
0.468,0.296,0.418,0.275,0.395,0.258
0.425,0.256,0.42,0.256,0.331,0.207
0.374,0.213,0.393,0.226,0.289,0.156
0.343,0.165,0.351,0.195,0.236,0.102
0.279,0.096,0.348,0.155,0.175,0.054
0.219,0.047,0.313,0.142,0.115,0.001
0.187,0.014,0.293,0.103,0.05,-0.051
0.147,-0.038,0.273,0.075,0.01,-0.094
0.092,-0.097,0.236,0.049,-0.038,-0.143
0.044,-0.13,0.202,0.018,-0.089,-0.185
0.007,-0.174,0.188,-0.006,-0.147,-0.236
-0.032,-0.214,0.145,-0.032,-0.214,-0.272
-0.096,-0.266,0.111,-0.067,-0.254,-0.327
-0.122,-0.285,0.088,-0.083,-0.307,-0.361
-0.193,-0.332,0.046,-0.108,-0.351,-0.399
