cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
-0.794,-0.837,-0.315,-0.604,0.301,-0.215
-0.823,-0.824,-0.375,-0.625,0.25,-0.27
-0.837,-0.821,-0.445,-0.649,0.189,-0.313
-0.87,-0.801,-0.477,-0.675,0.14,-0.358
-0.895,-0.784,-0.536,-0.697,0.074,-0.408
-0.884,-0.753,-0.586,-0.707,0.04,-0.443
-0.897,-0.72,-0.646,-0.711,-0.044,-0.476
-0.914,-0.692,-0.677,-0.724,-0.08,-0.513
-0.894,-0.652,-0.71,-0.727,-0.129,-0.549
-0.89,-0.615,-0.76,-0.725,-0.194,-0.577
-0.852,-0.566,-0.785,-0.724,-0.258,-0.602
-0.872,-0.519,-0.818,-0.714,-0.297,-0.624
-0.815,-0.465,-0.843,-0.699,-0.34,-0.634
-0.805,-0.417,-0.855,-0.692,-0.412,-0.649
-0.772,-0.343,-0.868,-0.668,-0.441,-0.665
-0.691,-0.284,-0.877,-0.643,-0.489,-0.671
-0.681,-0.224,-0.883,-0.62,-0.518,-0.682
-0.634,-0.149,-0.89,-0.59,-0.552,-0.678
-0.556,-0.102,-0.879,-0.552,-0.578,-0.681
-0.518,-0.031,-0.875,-0.52,-0.617,-0.668
-0.448,0.037,-0.854,-0.475,-0.631,-0.661
-0.401,0.105,-0.859,-0.438,-0.656,-0.659
-0.326,0.169,-0.825,-0.39,-0.676,-0.631
-0.27,0.232,-0.787,-0.337,-0.701,-0.614
-0.178,0.294,-0.765,-0.283,-0.711,-0.582
-0.095,0.36,-0.732,-0.242,-0.731,-0.564
-0.082,0.421,-0.683,-0.185,-0.72,-0.532
0.027,0.463,-0.66,-0.122,-0.735,-0.498
0.091,0.534,-0.612,-0.076,-0.714,-0.465
0.155,0.566,-0.544,-0.012,-0.707,-0.422
0.229,0.623,-0.49,0.046,-0.701,-0.38
0.297,0.658,-0.442,0.105,-0.691,-0.344
0.351,0.686,-0.386,0.161,-0.664,-0.29
0.402,0.717,-0.313,0.211,-0.633,-0.25
0.481,0.758,-0.263,0.283,-0.599,-0.196
0.566,0.788,-0.194,0.321,-0.555,-0.158
0.617,0.801,-0.125,0.373,-0.536,-0.105
0.653,0.792,-0.063,0.422,-0.502,-0.062
0.726,0.818,0.006,0.463,-0.45,-0.008
0.74,0.805,0.089,0.512,-0.389,0.034
0.766,0.808,0.135,0.549,-0.36,0.078
0.8,0.793,0.209,0.591,-0.315,0.128
0.855,0.794,0.26,0.62,-0.25,0.168
0.896,0.769,0.324,0.643,-0.217,0.217
0.89,0.741,0.39,0.67,-0.165,0.257
0.916,0.727,0.444,0.696,-0.093,0.302
0.926,0.691,0.496,0.703,-0.048,0.33
0.947,0.676,0.572,0.725,-0.001,0.368
0.906,0.627,0.594,0.732,0.052,0.4
0.903,0.574,0.655,0.734,0.107,0.428
0.918,0.533,0.676,0.734,0.151,0.454
0.878,0.49,0.728,0.735,0.223,0.482
0.887,0.443,0.77,0.73,0.264,0.509
0.836,0.393,0.795,0.708,0.308,0.538
0.832,0.333,0.813,0.697,0.362,0.545
0.786,0.279,0.835,0.678,0.412,0.557
0.734,0.229,0.862,0.65,0.454,0.568
0.701,0.182,0.855,0.624,0.492,0.572
0.671,0.118,0.868,0.592,0.542,0.584
0.606,0.074,0.863,0.558,0.581,0.581
0.569,0.014,0.877,0.52,0.595,0.579
0.522,-0.038,0.862,0.477,0.641,0.564
0.456,-0.099,0.867,0.439,0.66,0.565
0.378,-0.143,0.849,0.402,0.693,0.548
0.336,-0.196,0.828,0.358,0.712,0.53
0.28,-0.235,0.812,0.31,0.724,0.535
0.192,-0.292,0.79,0.269,0.75,0.5
0.14,-0.335,0.752,0.215,0.782,0.491
0.071,-0.376,0.742,0.166,0.762,0.464
0.027,-0.426,0.681,0.123,0.781,0.446
-0.034,-0.453,0.654,0.078,0.786,0.424
-0.102,-0.488,0.619,0.035,0.772,0.392
-0.151,-0.527,0.557,-0.008,0.768,0.359
-0.232,-0.535,0.536,-0.05,0.775,0.342
-0.275,-0.565,0.484,-0.095,0.771,0.315
-0.32,-0.588,0.448,-0.145,0.736,0.285
-0.37,-0.598,0.385,-0.179,0.741,0.245
-0.402,-0.611,0.35,-0.219,0.725,0.218
-0.463,-0.625,0.319,-0.256,0.707,0.188
-0.516,-0.632,0.264,-0.288,0.672,0.155
-0.52,-0.631,0.211,-0.326,0.671,0.131
-0.579,-0.628,0.157,-0.352,0.624,0.101
-0.598,-0.636,0.112,-0.386,0.597,0.083
-0.712,-0.653,0.039,-0.409,0.564,0.051
-0.734,-0.633,-0.017,-0.437,0.554,0.026
-0.718,-0.612,-0.083,-0.453,0.511,-0.006
-0.718,-0.576,-0.112,-0.47,0.482,-0.027
-0.707,-0.552,-0.149,-0.492,0.441,-0.055
-0.721,-0.529,-0.185,-0.495,0.422,-0.078
-0.73,-0.495,-0.236,-0.507,0.389,-0.098
-0.736,-0.46,-0.26,-0.516,0.359,-0.117
-0.704,-0.439,-0.321,-0.517,0.32,-0.124
-0.702,-0.398,-0.353,-0.517,0.28,-0.163
-0.682,-0.354,-0.35,-0.512,0.231,-0.167
-0.662,-0.31,-0.402,-0.519,0.219,-0.185
-0.663,-0.275,-0.423,-0.501,0.183,-0.197
-0.6,-0.228,-0.464,-0.484,0.131,-0.211
-0.563,-0.181,-0.482,-0.469,0.117,-0.223
-0.531,-0.122,-0.52,-0.455,0.089,-0.242
-0.507,-0.093,-0.492,-0.437,0.012,-0.24
-0.496,-0.051,-0.514,-0.42,0.007,-0.241
-0.392,0.002,-0.524,-0.398,-0.033,-0.247
-0.421,0.037,-0.531,-0.368,-0.071,-0.262
-0.36,0.086,-0.557,-0.358,-0.1,-0.258
-0.27,0.134,-0.568,-0.321,-0.13,-0.257
-0.206,0.182,-0.544,-0.297,-0.161,-0.265
-0.188,0.213,-0.52,-0.259,-0.201,-0.264
-0.148,0.247,-0.542,-0.232,-0.221,-0.256
-0.098,0.28,-0.513,-0.189,-0.253,-0.268
-0.013,0.315,-0.492,-0.155,-0.289,-0.278
0.037,0.357,-0.468,-0.12,-0.328,-0.258
0.093,0.377,-0.463,-0.088,-0.35,-0.273
0.06,0.37,-0.438,-0.047,-0.39,-0.272
0.113,0.392,-0.424,-0.029,-0.404,-0.254
0.196,0.414,-0.382,0.018,-0.431,-0.268
0.266,0.424,-0.38,0.045,-0.473,-0.263
0.276,0.418,-0.343,0.085,-0.482,-0.285
0.286,0.393,-0.317,0.107,-0.513,-0.282
0.309,0.392,-0.286,0.146,-0.553,-0.303
0.33,0.369,-0.255,0.167,-0.564,-0.3
0.327,0.363,-0.211,0.196,-0.612,-0.305
0.337,0.338,-0.194,0.21,-0.644,-0.31
0.32,0.31,-0.152,0.241,-0.669,-0.329
0.35,0.259,-0.129,0.243,-0.699,-0.377
0.312,0.232,-0.095,0.255,-0.751,-0.386
0.321,0.189,-0.06,0.271,-0.759,-0.402
0.29,0.117,-0.051,0.282,-0.813,-0.421
0.278,0.098,-0.005,0.279,-0.813,-0.448
0.281,0.036,-0.001,0.287,-0.881,-0.499
0.263,-0.036,0.045,0.267,-0.912,-0.531
0.205,-0.098,0.039,0.263,-0.938,-0.58
0.154,-0.178,0.055,0.253,-0.975,-0.603
0.109,-0.267,0.075,0.23,-1.02,-0.648
