time,control_1,control_2,control_3,2DG(10mM)_1,2DG(10mM)_2,2DG(10mM)_3,2DG(20mM)_1,2DG(20mM)_2,2DG(20mM)_3,Az(1mM)_1,Az(1mM)_2,Az(1mM)_3
820,87530,164515,50215,39208,73020,16317,30301,62015,14165,32267,79072,25396
825,86786,163237,50016,39032,72027,17553,30420,62284,14252,32473,78718,25323
830,85580,161315,50219,38664,71119,16864,30498,60880,13900,32195,78017,25310
835,85090,158169,49943,38728,70631,17088,29656,59617,13829,31661,76517,25223
840,84399,157215,47429,38328,70261,14810,29107,61227,12780,31425,77556,24559
845,83603,158213,47938,37333,71612,16092,29196,60063,12612,31064,76910,24293
850,82666,153345,46887,37660,66864,15366,28953,57567,12494,31337,75392,24311
855,82150,154683,48449,37487,68469,17289,28417,58199,13998,31064,74555,24858
860,81772,153761,47170,36502,67935,16853,28471,58817,13997,30795,74753,23745
865,80414,151323,46747,36347,67667,15912,28149,57913,13372,30687,73051,23182
870,79844,149506,46515,36058,66464,15866,28238,58124,12778,30609,73685,23008
875,79231,151420,45959,34959,67854,15606,27571,58865,12945,30394,74398,23258
880,78575,149286,46138,34899,67398,16463,27307,57114,13126,30387,71755,22228
885,77413,148300,45773,34402,64781,14830,27064,56399,11637,30048,70882,22981
890,77831,146804,46319,34297,63945,15683,26625,55416,13204,29651,70306,22467
895,76683,145539,45248,34142,63818,16280,26490,55480,12695,29514,69085,22290
900,75659,144077,44867,33583,64032,16272,26557,55880,12958,29060,68747,21032
